Name,Age,Gender,JoinDate,Python,SQL,ML,Attendance,MonthlySpend
Satya,22,Male,2026-01-15,90.0,80.0,85.0,95.0,5000.0
Ravi,23,Male,2026-02-10,70.0,75.0,,80.0,4500.0
Sai,21,Female,2026-03-05,95.0,92.0,90.0,98.0,7000.0
Ajay,24,Male,2026-01-28,60.0,65.0,70.0,75.0,3000.0
Rahul,22,Male,2026-04-12,85.0,88.0,90.0,,6500.0
Priya,21,Female,2026-05-20,78.0,,88.0,92.0,5500.0
Anu,20,Female,2026-06-15,82.0,79.0,84.0,89.0,
Kiran,25,Male,2026-02-22,55.0,60.0,58.0,70.0,2500.0
Sneha,23,Female,2026-07-08,91.0,87.0,93.0,96.0,8000.0
Arjun,24,Male,2026-08-01,,72.0,75.0,85.0,4000.0
