ID,Name,Age,Department,Salary,City
1,Alice,23.0,HR,45000.0,Hyderabad
2,Bob,25.0,IT,55000.0,Bangalore
3,Charlie,22.0,Sales,40000.0,Chennai
4,David,28.0,IT,65000.0,Mumbai
5,Eva,24.0,HR,47000.0,Delhi
6,Frank,30.0,Sales,70000.0,Pune
7,Grace,27.0,IT,60000.0,Hyderabad
8,Henry,26.0,Finance,58000.0,Bangalore
9,Ivy,23.0,HR,45000.0,Chennai
10,Jack,29.0,IT,72000.0,Mumbai
3,Charlie,22.0,Sales,40000.0,Chennai
7,Grace,27.0,IT,60000.0,Hyderabad
11,Kevin,,Finance,52000.0,Delhi
12,Lily,24.0,IT,,Pune
13,Mike,31.0,Sales,76000.0,
